"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"111";"Casa da Ração";"Casa da Ração";"NOVO";"";"(16) 3626-6209";"";"Agropecuária";"Ribeirão Preto";"";"";"R. Luiz Barreto - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"112";"Agrocac";"Agrocac";"NOVO";"";"(16) 3323-4014";"";"Agropecuária";"Ribeirão Preto";"";"";"R. Guiana Inglesa - Vila Mariana (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"113";"PD8 Distribuidora de Alimentos";"PD8 Distribuidora de Alimentos";"NOVO";"";"(16) 3237-0833";"";"Distribuidora de alimentos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"114";"Auto Escola Aprovar";"Auto Escola Aprovar";"NOVO";"";"(16) 3442-9971";"";"Autoescola";"Ribeirão Preto";"";"";"Av. Portugal - Jardim São Luiz (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"115";"CNA Independência";"CNA Independência";"NOVO";"";"(16) 2111-4926";"";"Escola de idiomas";"Ribeirão Preto";"";"";"Av. Independência - Vila Seixas (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"116";"Buffet Cristal Eventos";"Buffet Cristal Eventos";"NOVO";"";"(16) 3630-7458";"";"Buffet";"Ribeirão Preto";"";"";"R. Guia Lopes - Vila Monte Alegre (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"117";"Doce Festa";"Doce Festa";"NOVO";"";"(16) 3627-1825";"";"Festas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"118";"Quinta Linda Espaço para Eventos";"Quinta Linda Espaço para Eventos";"NOVO";"";"(16) 3610-5686";"";"Espaço de eventos";"Ribeirão Preto";"";"";"Via Anhanguera - Recreio Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"119";"Buffet Pallato";"Buffet Pallato";"NOVO";"";"(16) 3637-8709";"";"Buffet";"Ribeirão Preto";"";"";"R. São José - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"120";"Loja Super G";"Loja Super G";"NOVO";"";"(16) 3625-8609";"";"Loja de roupas";"Ribeirão Preto";"";"";"R. Tibiriçá - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"121";"Nova Ribeirão";"Nova Ribeirão";"NOVO";"";"(16) 3638-0602";"";"Calçados";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri - Quintino Facci II (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"122";"Forte Acessórios Industriais";"Forte Acessórios Industriais";"NOVO";"";"(16) 3013-1554";"";"Acessórios industriais";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"123";"Lojas Tanger";"Lojas Tanger";"NOVO";"";"(16) 3610-0867";"";"Loja de roupas";"Ribeirão Preto";"";"";"R. Saldanha Marinho - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"124";"Cintra Car";"Cintra Car";"NOVO";"";"(16) 3931-3978";"";"Auto center";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"125";"Padaria São Pedro";"Padaria São Pedro";"NOVO";"";"(16) 3610-7917";"";"Padaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"126";"Trade One Bebidas";"Trade One Bebidas";"NOVO";"";"(16) 3916-4990";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"R. Platina - Santa Cruz do José Jacques (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"127";"Bebidas Amarelinho";"Bebidas Amarelinho";"NOVO";"";"(16) 3627-5999";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"R. Farid Salim - Jardim Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"128";"Papelaria Estrela";"Papelaria Estrela";"NOVO";"";"(16) 3633-4455";"";"Papelaria";"Ribeirão Preto";"";"";"R. Cel. Camisão - Vila Monte Alegre (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"129";"Criativa Papelaria";"Criativa Papelaria";"NOVO";"";"(16) 3234-4613";"";"Papelaria";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"130";"Souza e Guimarães Papelaria";"Souza e Guimarães Papelaria";"NOVO";"";"(16) 3441-8158";"";"Papelaria";"Ribeirão Preto";"";"";"R. Laguna - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"131";"Papelaria Ipiranga";"Papelaria Ipiranga";"NOVO";"";"(16) 3633-0925";"";"Papelaria";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"132";"Fabriplas Sacolas Plásticas";"Fabriplas Sacolas Plásticas";"NOVO";"";"(16) 3626-0115";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"133";"Riber Plast";"Riber Plast";"NOVO";"";"(16) 3630-9988";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"134";"Papelaria Primavera";"Papelaria Primavera";"NOVO";"";"(16) 3622-2496";"";"Papelaria";"Ribeirão Preto";"";"";"R. Javari - Geraldo Correia de Carvalho (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"135";"IBU Uniformes";"IBU Uniformes";"NOVO";"";"(16) 3979-5551";"";"Uniformes";"Ribeirão Preto";"";"";"R. João Ramalho - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"136";"Unibrins";"Unibrins";"NOVO";"";"(16) 3633-7626";"";"Uniformes";"Ribeirão Preto";"";"";"R. Acre, 965 - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"137";"Ribeirão Outdoor";"Ribeirão Outdoor";"NOVO";"";"(16) 3965-4554";"";"Comunicação visual";"Ribeirão Preto";"";"";"R. Mariana Cândida Rosa Curi - Ribeirânia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"138";"Artegrafix Gráfica Digital";"Artegrafix Gráfica Digital";"NOVO";"";"(16) 3931-4905";"";"Gráfica";"Ribeirão Preto";"";"";"Av. Independência - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"139";"Tecnolife Eletrônica Industrial";"Tecnolife Eletrônica Industrial";"NOVO";"";"(16) 3289-0079";"";"Eletrônica industrial";"Ribeirão Preto";"";"";"R. Bartolomeu de Gusmão - Vila Tibério (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"140";"Associação Produtores Hortifrutigranjeiros de Ribeirão Preto e Região";"Associação Produtores Hortifrutigranjeiros de Ribeirão Preto e Região";"NOVO";"";"(16) 3941-1101";"";"Hortifruti";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"141";"Luiza Confeitaria";"Luiza Confeitaria";"NOVO";"";"(16) 3013-2687";"";"Confeitaria";"Ribeirão Preto";"";"";"R. Alberto de Oliveira - Jardim Maria Goretti (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"142";"Clínica Canadá Fisioterapia";"Clínica Canadá Fisioterapia";"NOVO";"";"(16) 3913-4259";"";"Fisioterapia";"Ribeirão Preto";"";"";"Av. José Adolfo Bianco Molina - Jardim Canadá (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"143";"Arte Hidráulica";"Arte Hidráulica";"NOVO";"";"(16) 3624-3552";"";"Materiais hidráulicos";"Ribeirão Preto";"";"";"Av. Meira Júnior, 1376 - Jardim Paulistano (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"144";"Elétrica São Paulo";"Elétrica São Paulo";"NOVO";"";"(16) 3624-6544";"";"Materiais elétricos";"Ribeirão Preto";"";"";"Av. Treze de Maio - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"145";"Construlider";"Construlider";"NOVO";"";"(16) 3941-5445";"";"Materiais de construção";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"146";"Construtora Acosta";"Construtora Acosta";"NOVO";"";"(16) 3234-1993";"";"Construtora";"Ribeirão Preto";"";"";"R. Cavalheiro Torquato Rizzi - Jardim São Luiz (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"147";"Casa de Carnes Rubinho";"Casa de Carnes Rubinho";"NOVO";"";"(16) 3610-5095";"";"Açougue";"Ribeirão Preto";"";"";"R. Aurora, 544 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"148";"Casa de Carnes D Campos";"Casa de Carnes D Campos";"NOVO";"";"(16) 3625-4299";"";"Açougue";"Ribeirão Preto";"";"";"R. Bernardino de Campos, 756 - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"149";"Casa Carnes Interlagos";"Casa Carnes Interlagos";"NOVO";"";"(16) 3629-6979";"";"Açougue";"Ribeirão Preto";"";"";"R. Athaulfo Alves, 495 - Parque Anhanguera (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"150";"Casa de Carnes Beto Romão";"Casa de Carnes Beto Romão";"NOVO";"";"(16) 3626-7792";"";"Açougue";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"151";"Açougue do Luiz";"Açougue do Luiz";"NOVO";"";"(16) 3612-4283";"";"Açougue";"Ribeirão Preto";"";"";"R. João Bim, 814 - Vila Tamandaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"152";"MS Power Chip";"MS Power Chip";"NOVO";"";"(16) 3961-2016";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"153";"Autoelétrico Beto";"Autoelétrico Beto";"NOVO";"";"(16) 3629-2019";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"154";"Marquinho Autoelétrico";"Marquinho Autoelétrico";"NOVO";"";"(16) 3628-5537";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"155";"Mecânica Porto União";"Mecânica Porto União";"NOVO";"";"(16) 3633-6056";"";"Oficina mecânica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"156";"Aliados Auto Eletro";"Aliados Auto Eletro";"NOVO";"";"(16) 3627-8390";"";"Auto elétrica";"Ribeirão Preto";"";"";"Av. Dr. Plínio de Castro Prado, 417 (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"157";"Injetpower";"Injetpower";"NOVO";"";"(16) 3919-0791";"";"Injeção eletrônica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"158";"Tapeçaria Dois Irmãos";"Tapeçaria Dois Irmãos";"NOVO";"";"(16) 3626-9096";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Fernão Sales - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"159";"Auto Tapeçaria Soma";"Auto Tapeçaria Soma";"NOVO";"";"(16) 3630-3537";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Maranhão - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"160";"Persianas Line Flex";"Persianas Line Flex";"NOVO";"";"(16) 3931-1041";"";"Persianas";"Ribeirão Preto";"";"";"R. Barão de Cotegipe - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"161";"Tapeçaria Inglesa";"Tapeçaria Inglesa";"NOVO";"";"(16) 3234-4050";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Laguna, 1297 - Jardim Paulistano (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"162";"Mira Distribuidora";"Mira Distribuidora";"NOVO";"";"(16) 3628-7077";"";"Distribuidora";"Ribeirão Preto";"";"";"R. Antônio Milena - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"163";"Premici Distribuidora";"Premici Distribuidora";"NOVO";"";"(16) 3512-2700";"";"Distribuidora";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"164";"Ribercon Distribuidora";"Ribercon Distribuidora";"NOVO";"";"(16) 3624-5020";"";"Distribuidora";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"165";"Distribuidora Castelo";"Distribuidora Castelo";"NOVO";"";"(16) 3967-1646";"";"Distribuidora de alimentos";"Ribeirão Preto";"";"";"R. Clemente Bartolomucci - Jardim Zara (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"166";"Distribuidora de Bebidas DDL";"Distribuidora de Bebidas DDL";"NOVO";"";"(16) 3442-4230";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"167";"Refrigeração Caldana";"Refrigeração Caldana";"NOVO";"";"(16) 3610-6943";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. Cel. Luiz da Cunha - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"168";"Zanotti e Multi Frio";"Zanotti e Multi Frio";"NOVO";"";"(16) 3961-1804";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. José de Alencar, 436 - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"169";"Multifrio Refrigeração";"Multifrio Refrigeração";"NOVO";"";"(16) 2101-7700";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. João Clapp - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"170";"Refricenter";"Refricenter";"NOVO";"";"(16) 3931-2763";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"171";"Refrigeração Bonavina";"Refrigeração Bonavina";"NOVO";"";"(16) 3961-2111";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"172";"Refrigeração Futurama";"Refrigeração Futurama";"NOVO";"";"(16) 3914-2040";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. Cardeal Leme, 300 - Vila Virgínia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"173";"Universal Extintores";"Universal Extintores";"NOVO";"";"(16) 3632-1121";"";"Extintores";"Ribeirão Preto";"";"";"R. José Bonifácio - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"174";"Sky Fire Equipamentos contra Incêndio";"Sky Fire Equipamentos contra Incêndio";"NOVO";"";"(16) 3019-3980";"";"Extintores";"Ribeirão Preto";"";"";"R. Dois de Julho, 1274 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"175";"Distrinox";"Distrinox";"NOVO";"";"(16) 3969-8080";"";"Segurança do trabalho";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"176";"Rei dos Cadeados";"Rei dos Cadeados";"NOVO";"";"(16) 3632-2809";"";"Segurança/Chaveiro";"Ribeirão Preto";"";"";"R. Visconde de Inhaúma - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"177";"Casa dos Parafusos";"Casa dos Parafusos";"NOVO";"";"(16) 3610-9967";"";"Ferragens";"Ribeirão Preto";"";"";"Av. Capitão Salomão - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"178";"J R Parafusos e Ferramentas";"J R Parafusos e Ferramentas";"NOVO";"";"(16) 98152-5584";"";"Ferragens";"Ribeirão Preto";"";"";"R. Maranhão - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"179";"Multiatlas Ferramentas";"Multiatlas Ferramentas";"NOVO";"";"(16) 3021-2092";"";"Ferramentas";"Ribeirão Preto";"";"";"R. Monsenhor Siqueira (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"180";"Oximaster";"Oximaster";"NOVO";"";"(16) 3633-2382";"";"Solda/Gases";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"181";"Serv Gesso";"Serv Gesso";"NOVO";"";"(16) 3637-5940";"";"Gesso/Drywall";"Ribeirão Preto";"";"";"Av. Luzitana - Parque Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"182";"João do Gesso";"João do Gesso";"NOVO";"";"(16) 99200-1810";"";"Gesso/Drywall";"Ribeirão Preto";"";"";"R. Itajubá - Vila Pompeia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"183";"Auto Posto Titan";"Auto Posto Titan";"NOVO";"";"(16) 3969-4272";"";"Posto de combustível";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"184";"A Modelar Pisos e Revestimentos";"A Modelar Pisos e Revestimentos";"NOVO";"";"(16) 2102-1600";"";"Pisos e revestimentos";"Ribeirão Preto";"";"";"Av. Dr. Francisco Junqueira - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"185";"Depósito Chimba";"Depósito Chimba";"NOVO";"";"(16) 3638-2277";"";"Materiais de construção";"Ribeirão Preto";"";"";"Av. Gen. Euclydes de Figueiredo - Adelino Simioni (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"186";"RBR Materiais de Construção";"RBR Materiais de Construção";"NOVO";"";"(16) 3638-3377";"";"Materiais de construção";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri, 811 - Quintino Facci II (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"187";"Cemitério dos Pisos";"Cemitério dos Pisos";"NOVO";"";"(16) 3636-7533";"";"Pisos e revestimentos";"Ribeirão Preto";"";"";"R. Monsenhor Siqueira - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"188";"Casa Interior";"Casa Interior";"NOVO";"";"(16) 3635-7100";"";"Materiais de construção";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"189";"Refratários Ribeirão Preto";"Refratários Ribeirão Preto";"NOVO";"";"(16) 3626-5540";"";"Refratários";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"190";"Alarme Sistens";"Alarme Sistens";"NOVO";"";"(16) 3941-2231";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"R. Aurora, 382 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"191";"City Sistem Sistemas de Segurança";"City Sistem Sistemas de Segurança";"NOVO";"";"(16) 3916-4045";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"Praça Rotary Club - City Ribeirão (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"192";"ANM Sistema de Alarmes";"ANM Sistema de Alarmes";"NOVO";"";"(16) 3877-6040";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"R. Orlândia - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"193";"Victoria Som";"Victoria Som";"NOVO";"";"(16) 3632-1422";"";"Som automotivo";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"194";"Sibrape Embalagens";"Sibrape Embalagens";"NOVO";"";"(16) 2101-7000";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"195";"Ambiente Locadora de Veículos";"Ambiente Locadora de Veículos";"NOVO";"";"(16) 99104-0652";"";"Locadora de veículos";"Ribeirão Preto";"";"";"Av. Maurílio Biagi - Ribeirânia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"196";"Localiza";"Localiza";"NOVO";"";"(16) 3626-2266";"";"Locadora de veículos";"Ribeirão Preto";"";"";"R. Guará - Vila Elisa (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"197";"Lapidin Joalheiros";"Lapidin Joalheiros";"NOVO";"";"(16) 3617-2288";"";"Joalheria";"Ribeirão Preto";"";"";"Av. Pres. Kennedy - Ribeirânia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"198";"Antonio Carlos Joalheiros Loja 2";"Antonio Carlos Joalheiros Loja 2";"NOVO";"";"(16) 3636-2266";"";"Joalheria";"Ribeirão Preto";"";"";"R. João Penteado - Jardim Sumaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"199";"Riber Pão";"Riber Pão";"NOVO";"";"(16) 3961-2569";"";"Padaria";"Ribeirão Preto";"";"";"R. Dom Pedro II - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"200";"Panificadora Garoto";"Panificadora Garoto";"NOVO";"";"(16) 3612-8116";"";"Padaria";"Ribeirão Preto";"";"";"R. Tamandaré - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"201";"Weld Center";"Weld Center";"NOVO";"";"(16) 3636-8793";"";"Solda";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"202";"Tuany Disk Lanches";"Tuany Disk Lanches";"NOVO";"";"(16) 3622-4571";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"203";"Mialich Supermercados";"Mialich Supermercados";"NOVO";"";"(16) 3615-0594";"";"Supermercado";"Ribeirão Preto";"";"";"R. Cel. Américo Batista - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação. Atenção: a rede Mialich já está na sua lista pela Loja 07. Esta é outra unidade (Ipiranga).";"Busca web set/2026"
"204";"Salgadinhos Piu Piu";"Salgadinhos Piu Piu";"NOVO";"";"(16) 3630-1223";"";"Salgados";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"205";"Mauricio Martins Chapini";"Mauricio Martins Chapini";"NOVO";"";"(16) 3622-5292";"";"Lanchonete";"Ribeirão Preto";"";"";"R. Cel. Américo Batista - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"206";"Sorveteria do Geraldo";"Sorveteria do Geraldo";"NOVO";"";"(16) 3961-1681";"";"Sorveteria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"207";"Gás Brasiliano Distribuidora";"Gás Brasiliano Distribuidora";"NOVO";"";"(16) 3913-4543";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Alto da Boa Vista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"208";"Companhia Ultragaz";"Companhia Ultragaz";"NOVO";"";"(16) 3975-9200";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Rod. Anel Viário - Jardim Manoel Penna (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"209";"Disk Ultragás";"Disk Ultragás";"NOVO";"";"(16) 3630-0761";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"R. Anita Garibaldi - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"210";"Gordo Gás e Água";"Gordo Gás e Água";"NOVO";"";"(16) 3637-1287";"";"Distribuidora de gás e água";"Ribeirão Preto";"";"";"R. Mário de Andrade - Jardim Maria Goretti (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"211";"Liquigás";"Liquigás";"NOVO";"";"(16) 3632-0499";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"R. Henrique Dumont - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"212";"Lisboa Gás";"Lisboa Gás";"NOVO";"";"(16) 3624-6373";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Av. Barão do Bananal - Jardim Anhanguera (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"213";"Ultragaz";"Ultragaz";"NOVO";"";"(16) 3630-0717";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"214";"Atividade Academia";"Atividade Academia";"NOVO";"";"(16) 3421-6663";"";"Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"215";"AABB";"AABB";"NOVO";"";"(16) 3623-5041";"";"Clube/Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"216";"Ritmo Academia";"Ritmo Academia";"NOVO";"";"(16) 3635-5578";"";"Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"217";"Churrascaria Zebu";"Churrascaria Zebu";"NOVO";"";"(16) 3441-7467";"";"Churrascaria";"Ribeirão Preto";"";"";"R. Atibaia - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"218";"Ribeirão Moto";"Ribeirão Moto";"NOVO";"";"(16) 3966-6662";"";"Motos";"Ribeirão Preto";"";"";"R. Pará, 582 - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"219";"Kim Moto Peças";"Kim Moto Peças";"NOVO";"";"(16) 3636-4189";"";"Motos";"Ribeirão Preto";"";"";"R. José Bonifácio - Centro (busca pública, lote 05). Telefone não confirmado por ligação. Atenção: pode ser a mesma empresa do item ""Kim Moto Peça"" que já está na sua lista, com outro telefone. Confirme antes de ligar.";"Busca web set/2026"
