Nome;Telefone;Bairro;Nicho
Refrigeração Futurama;(16) 3914-2040;Vila Virgínia;Refrigeração e climatização
Relojoaria Ortolan;(16) 3637-0496;Vila Virgínia;Relojoaria
Brasileirinho Delivery Ribeirão Preto;(16) 3610-6462;;Restaurante
Brooklin Cantina Esfiharia;(16) 3235-8345;;Restaurante
Figueira Restaurante;(16) 3103-5555;;Restaurante
Garagem do Frango Assado;(16) 3234-8541;;Restaurante
Lig-Lig Ribeirão Preto;(16) 3625-7678;;Restaurante
Marmitaria Arte e Sabor;(16) 3624-9485;;Restaurante
O que manda Samanta;(16) 3103-0409;;Restaurante
Restaurante Cascata 13 de Maio;(16) 3627-4892;;Restaurante
Restaurante Paulista 1;(16) 3627-7117;;Restaurante
Restaurante Tenda Árabe;(16) 3636-0111;;Restaurante
Gigios Restaurante;(16) 3610-4143;Centro;Restaurante
Restaurante Pantoni;(16) 3941-1503;Centro;Restaurante
Josemar Grill;(16) 3911-5244;Jardim Irajá;Restaurante
Salute Restaurante;(16) 3627-0434;Jardim Paulista;Restaurante
Restaurante Tradicionale;(16) 3637-8730;Vila Virgínia;Restaurante
EPTV;(16) 3601-3400;Ipiranga;Rádio e TV
Doce Festa;(16) 3627-1825;;Salgados e festas
Salgadinhos Piu Piu;(16) 3630-1223;Ipiranga;Salgados e festas
Fashion Kids Salão de Beleza;(16) 3234-8214;;Salão de beleza
Geni Cabeleireira;(16) 3621-0747;;Salão de beleza
João Luiz Cabeleireiros;(16) 3931-3016;;Salão de beleza
Paulo Cabeleireiro;(16) 98212-1239;;Salão de beleza
Cibele Móveis Cabeleireiro e Manicure;(16) 3441-4543;Campos Elíseos;Salão de beleza
Studio Seniria Rodrigues;(16) 99606-6718;Jardim Paulista;Salão de beleza
Hora Certa Sapataria Costura e Bordado;(16) 3632-0840;Centro;Sapataria e costura
MEDNET Medicina e Segurança do Trabalho;(16) 3636-4050;;Segurança do trabalho
Distrinox;(16) 3969-8080;Campos Elíseos;Segurança do trabalho
City Sistem Sistemas de Segurança;(16) 3916-4045;City Ribeirão;Segurança eletrônica
ANM Sistema de Alarmes;(16) 3877-6040;Jardim Paulista;Segurança eletrônica
Alarme Sistens;(16) 3941-2231;Vila Tibério;Segurança eletrônica
Serralheria Alto Estilo;(16) 3637-3575;;Serralheria
Mônica Faria Accari;(16) 3931-5343;;Serviços
Sampaio Serviços Agrícolas;(16) 99181-3543;;Serviços agrícolas
Sindicato Rural Ribeirão Preto;(16) 3610-0346;Centro;Sindicato
Oximaster;(16) 3633-2382;;Solda/Gases
Victoria Som;(16) 3632-1422;;Som automotivo
Sorveteria do Geraldo;(16) 3961-1681;;Sorveteria
Bonna Supermercado;(16) 3234-3761;;Supermercado
Supermarkets Gricki Shop 05;(16) 3961-1338;Campos Elíseos;Supermercado
Carrefour Bairro Ribeirão Preto;(16) 3977-7981;Centro;Supermercado
Mercado Legal;(16) 3966-7278;Ipiranga;Supermercado
Mialich Supermercados;(16) 3615-0594;Ipiranga;Supermercado
Pão de Açúcar;(16) 3620-3544;Jardim Canadá;Supermercado
Supermercado Dia Dia;(16) 98129-4200;Parque Industrial Lagoinha;Supermercado
Supermercado Mineirinho;(16) 3974-1991;Quintino Facci II;Supermercado
Supermercado Brasil;(16) 3626-7936;Vila Elisa;Supermercado
Savegnago Supermercados;(16) 3914-9500;Vila Virgínia;Supermercado
D e C Estofados Loja e Tapeçaria;(16) 3623-0840;;Tapeçaria
Tapeçaria Dois Irmãos;(16) 3626-9096;Campos Elíseos;Tapeçaria
Auto Tapeçaria Soma;(16) 3630-3537;Ipiranga;Tapeçaria
Tapeçaria Inglesa;(16) 3234-4050;Jardim Paulistano;Tapeçaria
Rosolen Têxtil Tecidos;(16) 3961-3969;;Tecidos
Infratelle;(16) 3237-3713;;Telecom e internet
Rib Redes;(16) 3639-4993;;Telecom e internet
Tecbell;(16) 3636-4719;;Telecom e internet
Acetron;(16) 3632-3938;Centro;Telecom e internet
Convex Internet Provedor;(16) 2132-1000;Centro;Telecom e internet
Gibacell;(16) 3289-1837;Centro;Telecom e internet
Novatec;(16) 3635-1464;Jardim Sumaré;Telecom e internet
GIGA Telecomunicações;(16) 3620-9454;Jardim São Luiz;Telecom e internet
Nextel Telecomunicações;(16) 3941-6238;Vila Seixas;Telecom e internet
Metaltintas;(16) 3977-8800;;Tintas
Ubertintas;(16) 3961-1166;Campos Elíseos;Tintas
LATAM Cargo;(16) 3969-8339;;Transportadora
RDR Soluções Logísticas;(16) 3601-1200;;Transportadora
Ribe Transporte;(16) 3626-9394;;Transportadora
Grupo Movimente;(16) 3237-9657;Distrito Empresarial Luiz Roberto Jabali;Transportadora
RJ Transportes;(16) 3979-5122;Nova Ribeirânia;Transportadora
Pajuçara Transportes;(16) 3965-3802;Parque Industrial Lagoinha;Transportadora
Risso Transportadora;(16) 3965-9100;Parque Industrial Lagoinha;Transportadora
Rápido D Oeste;(16) 3632-6662;;Transporte e entregas
Viação Gontijo;(16) 3625-7847;;Transporte e entregas
Moto Taxi Park;(16) 3919-7348;Parque Ribeirão Preto;Transporte e entregas
Moto Taxi Vila Virgínia;(16) 3914-1616;Vila Virgínia;Transporte e entregas
Febracis Ribeirão Preto;(16) 3512-7070;;Treinamento
IBU Uniformes;(16) 3979-5551;Campos Elíseos;Uniformes
Unibrins;(16) 3633-7626;Ipiranga;Uniformes
Kim Novidades;(16) 3610-2796;;Variedades
Endovet;(16) 3632-2778;Campos Elíseos;Veterinária
Hospital Veterinário Cat Dog;(16) 3632-6657;Centro;Veterinária
Clínica Veterinária Filhotes e Mascotes;(16) 3966-2515;Ipiranga;Veterinária
Ribervet Produtos Veterinários;(16) 3624-6123;Nova Ribeirânia;Veterinária
A Toca Clínica Veterinária;(16) 3610-6167;Vila Seixas;Veterinária
Univet Unidade Integrada de Veterinária;(16) 3630-4161;Vila Tibério;Veterinária
Andra Vidros;(16) 3969-4542;;Vidraçaria
Brilhobox;(16) 3633-7963;;Vidraçaria
RP Vidraçaria;(16) 99118-1147;;Vidraçaria
Riber Vidros;(16) 3626-0720;;Vidraçaria
Vidraçaria Ribeirão Preto;(16) 98156-0244;;Vidraçaria
Vidraçaria Vidrobox;(16) 3626-9007;Campos Elíseos;Vidraçaria
Vidro Fort;(16) 3612-9494;Campos Elíseos;Vidraçaria
Vidraçaria Stilo;(16) 98156-0904;Campos Elísios;Vidraçaria
A Center Vidros;(16) 3961-3001;Ipiranga;Vidraçaria
Vistori Vistorias Veiculares;(16) 3289-8448;;Vistoria veicular
Instituto da Visão RP;(16) 4009-2999;Alto da Boa Vista;Ótica
Ótica Visually;(16) 3941-6011;Centro;Ótica
Ótica Jardins;(16) 3627-0964;Jardim Paulista;Ótica
Óptica Conceito;(16) 3237-4920;Jardim Sumaré;Ótica
Ótica Visolux;(16) 3914-3192;Vila Virgínia;Ótica
