"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"111";"Casa da Ração";"Casa da Ração";"NOVO";"";"(16) 3626-6209";"";"Agropecuária";"Ribeirão Preto";"";"";"R. Luiz Barreto - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"112";"Agrocac";"Agrocac";"NOVO";"";"(16) 3323-4014";"";"Agropecuária";"Ribeirão Preto";"";"";"R. Guiana Inglesa - Vila Mariana (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"113";"PD8 Distribuidora de Alimentos";"PD8 Distribuidora de Alimentos";"NOVO";"";"(16) 3237-0833";"";"Distribuidora de alimentos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"114";"Auto Escola Aprovar";"Auto Escola Aprovar";"NOVO";"";"(16) 3442-9971";"";"Autoescola";"Ribeirão Preto";"";"";"Av. Portugal - Jardim São Luiz (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"115";"CNA Independência";"CNA Independência";"NOVO";"";"(16) 2111-4926";"";"Escola de idiomas";"Ribeirão Preto";"";"";"Av. Independência - Vila Seixas (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"116";"Buffet Cristal Eventos";"Buffet Cristal Eventos";"NOVO";"";"(16) 3630-7458";"";"Buffet";"Ribeirão Preto";"";"";"R. Guia Lopes - Vila Monte Alegre (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"117";"Doce Festa";"Doce Festa";"NOVO";"";"(16) 3627-1825";"";"Festas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"118";"Quinta Linda Espaço para Eventos";"Quinta Linda Espaço para Eventos";"NOVO";"";"(16) 3610-5686";"";"Espaço de eventos";"Ribeirão Preto";"";"";"Via Anhanguera - Recreio Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"119";"Buffet Pallato";"Buffet Pallato";"NOVO";"";"(16) 3637-8709";"";"Buffet";"Ribeirão Preto";"";"";"R. São José - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"120";"Loja Super G";"Loja Super G";"NOVO";"";"(16) 3625-8609";"";"Loja de roupas";"Ribeirão Preto";"";"";"R. Tibiriçá - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"121";"Nova Ribeirão";"Nova Ribeirão";"NOVO";"";"(16) 3638-0602";"";"Calçados";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri - Quintino Facci II (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"122";"Forte Acessórios Industriais";"Forte Acessórios Industriais";"NOVO";"";"(16) 3013-1554";"";"Acessórios industriais";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"123";"Lojas Tanger";"Lojas Tanger";"NOVO";"";"(16) 3610-0867";"";"Loja de roupas";"Ribeirão Preto";"";"";"R. Saldanha Marinho - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"124";"Cintra Car";"Cintra Car";"NOVO";"";"(16) 3931-3978";"";"Auto center";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"125";"Padaria São Pedro";"Padaria São Pedro";"NOVO";"";"(16) 3610-7917";"";"Padaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"126";"Trade One Bebidas";"Trade One Bebidas";"NOVO";"";"(16) 3916-4990";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"R. Platina - Santa Cruz do José Jacques (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"127";"Bebidas Amarelinho";"Bebidas Amarelinho";"NOVO";"";"(16) 3627-5999";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"R. Farid Salim - Jardim Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"128";"Papelaria Estrela";"Papelaria Estrela";"NOVO";"";"(16) 3633-4455";"";"Papelaria";"Ribeirão Preto";"";"";"R. Cel. Camisão - Vila Monte Alegre (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"129";"Criativa Papelaria";"Criativa Papelaria";"NOVO";"";"(16) 3234-4613";"";"Papelaria";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"130";"Souza e Guimarães Papelaria";"Souza e Guimarães Papelaria";"NOVO";"";"(16) 3441-8158";"";"Papelaria";"Ribeirão Preto";"";"";"R. Laguna - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"131";"Papelaria Ipiranga";"Papelaria Ipiranga";"NOVO";"";"(16) 3633-0925";"";"Papelaria";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"132";"Fabriplas Sacolas Plásticas";"Fabriplas Sacolas Plásticas";"NOVO";"";"(16) 3626-0115";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"133";"Riber Plast";"Riber Plast";"NOVO";"";"(16) 3630-9988";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"134";"Papelaria Primavera";"Papelaria Primavera";"NOVO";"";"(16) 3622-2496";"";"Papelaria";"Ribeirão Preto";"";"";"R. Javari - Geraldo Correia de Carvalho (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"135";"IBU Uniformes";"IBU Uniformes";"NOVO";"";"(16) 3979-5551";"";"Uniformes";"Ribeirão Preto";"";"";"R. João Ramalho - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"136";"Unibrins";"Unibrins";"NOVO";"";"(16) 3633-7626";"";"Uniformes";"Ribeirão Preto";"";"";"R. Acre, 965 - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"137";"Ribeirão Outdoor";"Ribeirão Outdoor";"NOVO";"";"(16) 3965-4554";"";"Comunicação visual";"Ribeirão Preto";"";"";"R. Mariana Cândida Rosa Curi - Ribeirânia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"138";"Artegrafix Gráfica Digital";"Artegrafix Gráfica Digital";"NOVO";"";"(16) 3931-4905";"";"Gráfica";"Ribeirão Preto";"";"";"Av. Independência - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"139";"Tecnolife Eletrônica Industrial";"Tecnolife Eletrônica Industrial";"NOVO";"";"(16) 3289-0079";"";"Eletrônica industrial";"Ribeirão Preto";"";"";"R. Bartolomeu de Gusmão - Vila Tibério (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"140";"Associação Produtores Hortifrutigranjeiros de Ribeirão Preto e Região";"Associação Produtores Hortifrutigranjeiros de Ribeirão Preto e Região";"NOVO";"";"(16) 3941-1101";"";"Hortifruti";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"141";"Luiza Confeitaria";"Luiza Confeitaria";"NOVO";"";"(16) 3013-2687";"";"Confeitaria";"Ribeirão Preto";"";"";"R. Alberto de Oliveira - Jardim Maria Goretti (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"142";"Clínica Canadá Fisioterapia";"Clínica Canadá Fisioterapia";"NOVO";"";"(16) 3913-4259";"";"Fisioterapia";"Ribeirão Preto";"";"";"Av. José Adolfo Bianco Molina - Jardim Canadá (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"143";"Arte Hidráulica";"Arte Hidráulica";"NOVO";"";"(16) 3624-3552";"";"Materiais hidráulicos";"Ribeirão Preto";"";"";"Av. Meira Júnior, 1376 - Jardim Paulistano (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"144";"Elétrica São Paulo";"Elétrica São Paulo";"NOVO";"";"(16) 3624-6544";"";"Materiais elétricos";"Ribeirão Preto";"";"";"Av. Treze de Maio - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"145";"Construlider";"Construlider";"NOVO";"";"(16) 3941-5445";"";"Materiais de construção";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"146";"Construtora Acosta";"Construtora Acosta";"NOVO";"";"(16) 3234-1993";"";"Construtora";"Ribeirão Preto";"";"";"R. Cavalheiro Torquato Rizzi - Jardim São Luiz (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
